case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex267,ex267_udiv_bdd_b_lsb_a_msb_abc_g_aig_d24,1,518,15,7770,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex267/aigs/ex267_udiv_bdd_b_lsb_a_msb_abc_g_aig_d24.aig,unsigned low6_high6:a/b dbz=max exact; source=bdd_b_lsb_a_msb; flow=abc_g_aig_d24
ex268,ex268_udiv_bdd_b_msb_abc_g_aig,1,1111,18,19998,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_b_msb_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig
ex268,ex268_udiv_bdd_b_msb_synth_preset,1,1039,19,19741,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_b_msb_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_b_msb; flow=synth_preset
ex268,ex268_udiv_bdd_b_msb_abc_g_aig_d18,1,1111,18,19998,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_b_msb_abc_g_aig_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d18
ex268,ex268_udiv_bdd_b_msb_abc_g_aig_d24,1,1111,18,19998,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_b_msb_abc_g_aig_d24.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_b_msb; flow=abc_g_aig_d24
ex268,ex268_udiv_bdd_b_msb_a_lsb_abc_g_aig,1,1121,21,23541,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_b_msb_a_lsb_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig
ex268,ex268_udiv_bdd_b_msb_a_lsb_synth_preset,1,1021,21,21441,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_b_msb_a_lsb_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=synth_preset
ex268,ex268_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18,1,1121,21,23541,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_b_msb_a_lsb_abc_g_aig_d18.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d18
ex268,ex268_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24,1,1121,21,23541,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_b_msb_a_lsb_abc_g_aig_d24.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_b_msb_a_lsb; flow=abc_g_aig_d24
ex268,ex268_udiv_bdd_interleave_msb_abc_g_aig,1,774,20,15480,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_interleave_msb_abc_g_aig.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_interleave_msb; flow=abc_g_aig
ex268,ex268_udiv_bdd_interleave_msb_synth_preset,1,747,20,14940,student/work/ex265_ex269_frontend_udiv_bdd_orders_20260609_0805/ex268/aigs/ex268_udiv_bdd_interleave_msb_synth_preset.aig,unsigned low7_high7:a/b dbz=max exact; source=bdd_interleave_msb; flow=synth_preset
