case,input_width,split_bit,input_transform,output_transform,matches,total,exact,match_ratio,examples
ex289,16,2,reverse,comp_pair_swap,20,16384,0,0.001221,x=0x2000:p=0x4:pred=0xfffd:exp=0x200;x=0x2001:p=0x8004:pred=0xeffe:exp=0x2002;x=0x2002:p=0x4004:pred=0x7ff7:exp=0x2002
ex289,16,3,comp_all,identity,803,32768,0,0.024506,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x4000:exp=0xfffd;x=0x2:p=0xfffd:pred=0x2000:exp=0xfffb
ex289,16,3,comp_all,comp,1,32768,0,0.000031,x=0x1:p=0xfffe:pred=0xbfff:exp=0xfffd;x=0x2:p=0xfffd:pred=0xdfff:exp=0xfffb;x=0x3:p=0xfffc:pred=0xfff3:exp=0xcfff
ex289,16,3,comp_all,reverse,0,32768,0,0.000000,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x2:exp=0xfffd;x=0x2:p=0xfffd:pred=0x4:exp=0xfffb
ex289,16,3,comp_all,comp_reverse,32768,32768,1,1.000000,
ex289,16,3,comp_all,pair_swap,131,32768,0,0.003998,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0xfffe:pred=0x4000:exp=0xfffd;x=0x2:p=0xfffd:pred=0x2000:exp=0xfffb
ex289,16,3,comp_all,comp_pair_swap,33,32768,0,0.001007,x=0x1:p=0xfffe:pred=0xbfff:exp=0xfffd;x=0x2:p=0xfffd:pred=0xdfff:exp=0xfffb;x=0x3:p=0xfffc:pred=0xfff3:exp=0xcfff
ex289,16,3,reverse_comp_all,identity,187,16384,0,0.011414,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x4000:exp=0xffbf;x=0x2:p=0xbfff:pred=0x2000:exp=0xfbff
ex289,16,3,reverse_comp_all,comp,301,16384,0,0.018372,x=0x1:p=0x7fff:pred=0xbfff:exp=0xffbf;x=0x2:p=0xbfff:pred=0xdfff:exp=0xfbff;x=0x4:p=0xdfff:pred=0xfdff:exp=0xbfff
ex289,16,3,reverse_comp_all,reverse,236,16384,0,0.014404,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x2:exp=0xffbf;x=0x2:p=0xbfff:pred=0x4:exp=0xfbff
ex289,16,3,reverse_comp_all,comp_reverse,420,16384,0,0.025635,x=0x1:p=0x7fff:pred=0xfffd:exp=0xffbf;x=0x2:p=0xbfff:pred=0xfffb:exp=0xfbff;x=0x3:p=0x3fff:pred=0xcfff:exp=0xfff3
ex289,16,3,reverse_comp_all,pair_swap,19,16384,0,0.001160,x=0x0:p=0xffff:pred=0x0:exp=0xffff;x=0x1:p=0x7fff:pred=0x4000:exp=0xffbf;x=0x2:p=0xbfff:pred=0x2000:exp=0xfbff
ex289,16,3,reverse_comp_all,comp_pair_swap,131,16384,0,0.007996,x=0x1:p=0x7fff:pred=0xbfff:exp=0xffbf;x=0x2:p=0xbfff:pred=0xdfff:exp=0xfbff;x=0x4:p=0xdfff:pred=0xfeff:exp=0xbfff
ex289,16,3,reverse_comp_except_split,identity,0,16384,0,0.000000,x=0x0:p=0xefff:pred=0x0:exp=0xdfff;x=0x1:p=0x6fff:pred=0x4000:exp=0xff5f;x=0x2:p=0xafff:pred=0x2000:exp=0xf5ff
ex289,16,3,reverse_comp_except_split,comp,0,16384,0,0.000000,x=0x0:p=0xefff:pred=0xffff:exp=0xdfff;x=0x1:p=0x6fff:pred=0xbfff:exp=0xff5f;x=0x2:p=0xafff:pred=0xdfff:exp=0xf5ff
ex289,16,3,reverse_comp_except_split,reverse,0,16384,0,0.000000,x=0x0:p=0xefff:pred=0x0:exp=0xdfff;x=0x1:p=0x6fff:pred=0x2:exp=0xff5f;x=0x2:p=0xafff:pred=0x4:exp=0xf5ff
ex289,16,3,reverse_comp_except_split,comp_reverse,0,16384,0,0.000000,x=0x0:p=0xefff:pred=0xffff:exp=0xdfff;x=0x1:p=0x6fff:pred=0xfffd:exp=0xff5f;x=0x2:p=0xafff:pred=0xfffb:exp=0xf5ff
