case,model,input_order,output_order,layer,layer_size,matches,match_ratio,param,mean_cyclic_distance,max_cyclic_distance
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,7,1716,7,0.004079,a=7;b=275,433.261072,858
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,8,1287,6,0.004662,a=-2;b=899,316.138306,643
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,9,715,11,0.015385,a=1;b=2,175.302098,357
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,10,286,7,0.024476,a=1;b=0,69.594406,142
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,11,78,5,0.064103,a=1;b=11,16.538462,37
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,12,13,5,0.384615,a=-1;b=12,1.692308,6
ex286,affine,gray_then_reverse,reverse_gray_then_reverse,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,value,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_then_reverse,value,1,13,5,0.384615,a=7;b=7,2.538462,6
ex286,affine,gray_then_reverse,value,2,78,6,0.076923,a=1;b=66,17.769231,39
ex286,affine,gray_then_reverse,value,3,286,6,0.020979,a=5;b=269,66.356643,143
ex286,affine,gray_then_reverse,value,4,715,6,0.008392,a=-3;b=457,178.925874,357
ex286,affine,gray_then_reverse,value,5,1287,7,0.005439,a=-5;b=140,317.011655,643
ex286,affine,gray_then_reverse,value,6,1716,6,0.003497,a=7;b=910,418.016900,858
ex286,affine,gray_then_reverse,value,7,1716,9,0.005245,a=5;b=1057,419.412587,858
ex286,affine,gray_then_reverse,value,8,1287,6,0.004662,a=-1;b=501,310.220668,643
ex286,affine,gray_then_reverse,value,9,715,6,0.008392,a=1;b=201,181.704895,357
ex286,affine,gray_then_reverse,value,10,286,6,0.020979,a=-7;b=61,67.790210,143
ex286,affine,gray_then_reverse,value,11,78,5,0.064103,a=11;b=14,18.717949,39
ex286,affine,gray_then_reverse,value,12,13,5,0.384615,a=1;b=0,1.692308,6
ex286,affine,gray_then_reverse,value,13,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,brgc_index,0,1,1,1.000000,trivial,0.000000,0
ex286,affine,gray_value,brgc_index,1,13,4,0.307692,a=1;b=6,1.769231,4
ex286,affine,gray_value,brgc_index,2,78,5,0.064103,a=1;b=28,17.653846,39
ex286,affine,gray_value,brgc_index,3,286,7,0.024476,a=-3;b=82,66.006993,143
ex286,affine,gray_value,brgc_index,4,715,6,0.008392,a=-1;b=701,169.934266,357
ex286,affine,gray_value,brgc_index,5,1287,7,0.005439,a=1;b=281,310.397047,643
ex286,affine,gray_value,brgc_index,6,1716,6,0.003497,a=1;b=220,401.641608,858
ex286,affine,gray_value,brgc_index,7,1716,6,0.003497,a=-1;b=1281,414.145688,858
ex286,affine,gray_value,brgc_index,8,1287,6,0.004662,a=2;b=1123,314.164724,643
