case,domain,best_area,best_delay,best_adp,reference_adp,adp_ratio_to_reference,within_1p5_reference,beats_reference,candidate_id,hypothesis,function_guess,variant,tool_chain,classification,verilog_path,aig_path,source_kind,source_csv,notes
ex274,integer,985,42,41370,21630,1.912621,0,0,ex274_square_hybrid_bddtop2_trunc_synth_preset_d16,unsigned_square_x_times_x,unsigned_square_x_times_x,hybrid_bddtop2_trunc+synth_preset_d16,,square_specific_structural_rtl,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex274/verilog/ex274_square_hybrid_bddtop2_trunc.v,student/work/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_synth_preset_d16.aig,run,student/runs/integer/ex273_ex274_frontend_square_best_delaytarget_20260609_1345/results/candidates.csv,exact unsigned 16-bit square x*x over 65536 inputs; source=hybrid_bddtop2_trunc; flow=synth_preset_d16
ex275,integer,43,7,301,204,1.475490,1,0,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,unsigned_floor_isqrt,unsigned_floor_isqrt,prefix5_ge_tree_lsb+arith_wreduce_aig,,sqrt_specific_structural_rtl,student/work/ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656/ex275/verilog/ex275_isqrt_prefix5_ge_tree_lsb.v,student/work/ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig.aig,run,student/runs/integer/ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656/results/candidates.csv,exact unsigned floor isqrt over 256 inputs; source=prefix5_ge_tree_lsb; flow=arith_wreduce_aig
ex276,integer,101,10,1010,632,1.598101,0,0,ex276_isqrt_prefix4_ge_bitwise_synth_preset,unsigned_floor_isqrt,unsigned_floor_isqrt,prefix4_ge_bitwise+synth_preset,,sqrt_specific_structural_rtl,student/work/ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656/ex276/verilog/ex276_isqrt_prefix4_ge_bitwise.v,student/work/ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656/ex276/aigs/ex276_isqrt_prefix4_ge_bitwise_synth_preset.aig,run,student/runs/integer/ex275_ex276_frontend_isqrt_newbest_gateflow_20260609_1656/results/candidates.csv,exact unsigned floor isqrt over 1024 inputs; source=prefix4_ge_bitwise; flow=synth_preset
ex277,integer,237,12,2844,1980,1.436364,1,0,ex277_isqrt_cofbdd4_reverse_synth_preset,unsigned_floor_isqrt,unsigned_floor_isqrt,cofbdd4_reverse+synth_preset,,sqrt_specific_structural_rtl,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex277/verilog/ex277_isqrt_cofbdd4_reverse.v,student/work/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/ex277/aigs/ex277_isqrt_cofbdd4_reverse_synth_preset.aig,run,student/runs/integer/ex275_ex277_frontend_isqrt_prefix_delta_20260609_1618/results/candidates.csv,exact unsigned floor isqrt over 4096 inputs; source=cofbdd4_reverse; flow=synth_preset
ex278,integer,502,14,7028,5198,1.352058,1,0,ex278_isqrt_prefix5_range_synth_preset,unsigned_floor_isqrt,unsigned_floor_isqrt,prefix5_range+synth_preset,,sqrt_specific_structural_rtl,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex278/verilog/ex278_isqrt_prefix5_range.v,student/work/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/ex278/aigs/ex278_isqrt_prefix5_range_synth_preset.aig,run,student/runs/integer/ex275_ex279_frontend_isqrt_cofbdd_lowtarget_20260609_1551/results/candidates.csv,exact unsigned floor isqrt over 16384 inputs; source=prefix5_range; flow=synth_preset
ex279,integer,334,42,14028,10952,1.280862,1,0,ex279_isqrt_radix4_wires_synth_preset,unsigned_floor_isqrt,unsigned_floor_isqrt,radix4_wires+synth_preset,,sqrt_specific_structural_rtl,student/work/ex275_ex279_frontend_isqrt_new_structures_all_20260609_1618/ex279/verilog/ex279_isqrt_radix4_wires.v,student/work/ex275_ex279_frontend_isqrt_new_structures_all_20260609_1618/ex279/aigs/ex279_isqrt_radix4_wires_synth_preset.aig,run,student/runs/integer/ex275_ex279_frontend_isqrt_new_structures_all_20260609_1618/results/candidates.csv,exact unsigned floor isqrt over 65536 inputs; source=radix4_wires; flow=synth_preset
ex280,unknown,152,31,4712,2415,1.951139,0,0,ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,,synthflow_exact,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex280/verilog/ex280_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/ex280/aigs/ex280_prefix_parity_reduce_full_clamp_basic_abc_g_aig.aig,run,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/results/best.csv,Yosys abc gate set aig
ex281,unknown,161,34,5474,2336,2.343322,0,0,ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,,synthflow_exact,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex281/verilog/ex281_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/ex281/aigs/ex281_prefix_parity_reduce_full_clamp_basic_abc_g_aig.aig,run,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/results/best.csv,Yosys abc gate set aig
ex282,unknown,176,36,6336,2704,2.343195,0,0,ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,,synthflow_exact,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex282/verilog/ex282_unknown_quadratic_compressor_prefix_parity_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/ex282/aigs/ex282_prefix_parity_full_clamp_simplified_basic_abc_g_aig.aig,run,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/results/best.csv,Yosys abc gate set aig
ex283,unknown,181,36,6516,3168,2.056818,0,0,ex283_prefix_parity_reduce_full_clamp_simplified_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,,synthflow_exact,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex283/verilog/ex283_unknown_quadratic_compressor_prefix_parity_reduce_full_clamp_simplified_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/ex283/aigs/ex283_prefix_parity_reduce_full_clamp_simplified_basic_abc_g_aig.aig,run,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/results/best.csv,Yosys abc gate set aig
ex284,unknown,200,39,7800,4240,1.839623,0,0,ex284_prefix_parity_full_clamp_basic_abc_g_aig,unknown_quadratic_compressor,unknown_quadratic_compressor,abc_g_aig,,synthflow_exact,student/work/ex280_ex284_frontend_quadratic_compressor_20260609_0216/ex284/verilog/ex284_unknown_quadratic_compressor_prefix_parity_full_clamp_basic.v,student/work/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/ex284/aigs/ex284_prefix_parity_full_clamp_basic_abc_g_aig.aig,run,student/runs/unknown/ex280_ex284_frontend_quadratic_compressor_synthflow_20260609_0216/results/best.csv,Yosys abc gate set aig
ex285,unknown,775,17,13175,5499,2.395890,0,0,ex285_decision_tree_greedy_synth_preset,unknown_12x12,unknown_12x12,synth_preset,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex285/verilog/ex285_unknown_12x12_decision_tree_greedy.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex285/aigs/ex285_decision_tree_greedy_synth_preset.aig,run,student/runs/unknown/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/results/best.csv,Yosys synth preset with flatten
ex286,unknown,1447,15,21705,2376,9.135101,0,0,ex286_interleave_f00_k4_abc_g_aig,unknown_symmetry_cofactor_classonehot,unknown_symmetry_cofactor_classonehot,abc_g_aig,,synthflow_exact,student/work/ex286_frontend_multipair_symcof_20260609_0623/ex286/verilog/ex286_unknown_symcof_interleave_f00_k4.v,student/work/ex286_frontend_multipair_symcof_synthflow_20260609_0634/ex286/aigs/ex286_interleave_f00_k4_abc_g_aig.aig,run,student/runs/unknown/ex286_frontend_multipair_symcof_synthflow_20260609_0634/results/best.csv,Yosys abc gate set aig
ex287,unknown,1832,15,27480,5782,4.752681,0,0,ex287_interleave_f00_k5_abc_g_aig,unknown_symmetry_cofactor_classonehot,unknown_symmetry_cofactor_classonehot,abc_g_aig,,synthflow_exact,student/work/ex287_ex288_frontend_multipair_symcof_20260609_0624/ex287/verilog/ex287_unknown_symcof_interleave_f00_k5.v,student/work/ex287_frontend_multipair_symcof_synthflow_20260609_0634/ex287/aigs/ex287_interleave_f00_k5_abc_g_aig.aig,run,student/runs/unknown/ex287_frontend_multipair_symcof_synthflow_20260609_0634/results/best.csv,Yosys abc gate set aig
ex288,unknown,2257,14,31598,16394,1.927412,0,0,ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig,unknown_symcof_keybdd_selected,unknown_symcof_keybdd_selected,abc_g_aig,,synthflow_exact,student/work/ex286_ex288_frontend_keybdd_selected_synth_20260609_1448/ex288/verilog/ex288_unknown_symcof_interleave_f10_k6_onehot_group_keybdd_7.v,student/work/ex286_ex288_frontend_keybdd_selected_synthflow_20260609_1450/ex288/aigs/ex288_unknown_symcof_keybdd_selected_interleave_f10_k6_keybdd_7_abc_g_aig.aig,run,student/runs/unknown/ex286_ex288_frontend_keybdd_selected_synth_20260609_1448/results/best.csv,Yosys abc gate set aig
ex289,unknown,1047,19,19893,13620,1.460573,1,0,ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig,unknown_duality_symcof,unknown_duality_symcof,abc_g_aig,,synthflow_exact,student/work/ex289_frontend_duality_symcof_split2_xorwrap_20260609_1126/ex289/verilog/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor.v,student/work/ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128/ex289/aigs/ex289_unknown_duality_symcof_split2_f10_bits_0_1_12_13_onehot_group_xor_abc_g_aig.aig,run,student/runs/unknown/ex289_frontend_duality_symcof_split2_xorwrap_synthflow_20260609_1128/results/best.csv,Yosys abc gate set aig
ex290,unknown,4428,14,61992,42328,1.464562,1,0,ex290_rotate_high_split_default_abc_g_aig,unknown_12x12,unknown_12x12,abc_g_aig,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex290/verilog/ex290_unknown_12x12_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex290/aigs/ex290_rotate_high_split_default_abc_g_aig.aig,run,student/runs/unknown/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/results/best.csv,Yosys abc gate set aig
ex291,unknown,6503,15,97545,66850,1.459162,1,0,ex291_rotate_high_split_default_synth_preset,unknown_13x13,unknown_13x13,synth_preset,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex291/verilog/ex291_unknown_13x13_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex291/aigs/ex291_rotate_high_split_default_synth_preset.aig,run,student/runs/unknown/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/results/best.csv,Yosys synth preset with flatten
ex292,unknown,6770,21,142170,84854,1.675466,0,0,ex292_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig,unknown_shared_bdd_14x14,unknown_shared_bdd_14x14,abc_g_aig,,synthflow_exact,student/work/ex285_ex294_frontend_bdd_diagnostic_20260608_1225/ex292/verilog/ex292_unknown_shared_bdd_14x14_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7.v,student/work/ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235/ex292/aigs/ex292_order_0_13_1_12_2_11_3_10_4_9_5_8_6_7_abc_g_aig.aig,run,student/runs/unknown/ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235/results/best.csv,Yosys abc gate set aig
ex293,unknown,8054,18,144972,112966,1.283324,1,0,ex293_rotate_low_split_default_synth_preset,unknown_15x15,unknown_15x15,synth_preset,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex293/verilog/ex293_unknown_15x15_rotate_low_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex293/aigs/ex293_rotate_low_split_default_synth_preset.aig,run,student/runs/unknown/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/results/best.csv,Yosys synth preset with flatten
ex294,unknown,10726,23,246698,133365,1.849796,0,0,ex294_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_synth_preset,unknown_shared_bdd_16x16,unknown_shared_bdd_16x16,synth_preset,,synthflow_exact,student/work/ex285_ex294_frontend_bdd_diagnostic_20260608_1225/ex294/verilog/ex294_unknown_shared_bdd_16x16_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8.v,student/work/ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235/ex294/aigs/ex294_order_0_15_1_14_2_13_3_12_4_11_5_10_6_9_7_8_synth_preset.aig,run,student/runs/unknown/ex288_ex289_ex292_ex294_frontend_bdd_synthflow_20260608_1235/results/best.csv,Yosys synth preset with flatten
ex295,unknown,8653,16,138448,68064,2.034086,0,0,ex295_low_split_default_abc_g_aig,unknown_12x12,unknown_12x12,abc_g_aig,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex295/verilog/ex295_unknown_12x12_low_split_default.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex295/aigs/ex295_low_split_default_abc_g_aig.aig,run,student/runs/unknown/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/results/best.csv,Yosys abc gate set aig
ex296,unknown,8987,16,143792,104025,1.382283,1,0,ex296_high_split_default_abc_g_aig,unknown_13x13,unknown_13x13,abc_g_aig,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex296/verilog/ex296_unknown_13x13_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex296/aigs/ex296_high_split_default_abc_g_aig.aig,run,student/runs/unknown/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/results/best.csv,Yosys abc gate set aig
ex297,unknown,32422,18,583596,225900,2.583426,0,0,ex297_low_split_default_abc_g_aig,unknown_14x14,unknown_14x14,abc_g_aig,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex297/verilog/ex297_unknown_14x14_low_split_default.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex297/aigs/ex297_low_split_default_abc_g_aig.aig,run,student/runs/unknown/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/results/best.csv,Yosys abc gate set aig
ex298,unknown,33981,19,645639,442296,1.459744,1,0,ex298_rotate_high_split_default_synth_preset,unknown_15x15,unknown_15x15,synth_preset,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex298/verilog/ex298_unknown_15x15_rotate_high_split_default.v,student/work/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/ex298/aigs/ex298_rotate_high_split_default_synth_preset.aig,run,student/runs/unknown/ex290_ex291_ex293_ex296_ex298_frontend_current_synthflow_20260608_1320/results/best.csv,Yosys synth preset with flatten
ex299,unknown,118397,22,2604734,1013807,2.569260,0,0,ex299_high_split_default_abc_g_aig,unknown_16x16,unknown_16x16,abc_g_aig,,synthflow_exact,student/work/reverse_unknown_20260603_1812/ex299/verilog/ex299_unknown_16x16_high_split_default.v,student/work/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/ex299/aigs/ex299_high_split_default_abc_g_aig.aig,run,student/runs/unknown/ex285_ex287_ex295_ex297_ex299_frontend_current_synthflow_20260608_1350/results/best.csv,Yosys abc gate set aig
