case,status,evaluate_area,evaluate_delay,evaluate_adp,selection_area,selection_delay,selection_adp,qor_match,candidate_id,aig_path
ex269,OK,380,41,15580,380,41,15580,1,ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex269/aigs/ex269_udiv_radix4_shift_subtract_wreduce_abc_g_aig.aig
ex270,OK,204,15,3060,204,15,3060,1,ex270_r5_top3_threshold_recut_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex270/aigs/ex270_r5_top3_threshold_recut_abc_g_aig.aig
ex271,OK,332,24,7968,332,24,7968,1,ex271_square_wallace_square_outside_csel12_synth_preset_d16,student/new_seeds/integer/ex255_ex279_current/ex271/aigs/ex271_square_wallace_square_outside_csel12_synth_preset_d16.aig
ex272,OK,509,30,15270,509,30,15270,1,ex272_square_wallace_square_outside_csel14_synth_preset_d20,student/new_seeds/integer/ex255_ex279_current/ex272/aigs/ex272_square_wallace_square_outside_csel14_synth_preset_d20.aig
ex273,OK,797,33,26301,797,33,26301,1,ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig,student/new_seeds/integer/ex255_ex279_current/ex273/aigs/ex273_square_hybrid_bddtop4_perbit_wreduce_abc_g_aig.aig
ex274,OK,985,42,41370,985,42,41370,1,ex274_square_hybrid_bddtop2_trunc_synth_preset,student/new_seeds/integer/ex255_ex279_current/ex274/aigs/ex274_square_hybrid_bddtop2_trunc_synth_preset.aig
ex275,OK,43,7,301,43,7,301,1,ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig,student/new_seeds/integer/ex255_ex279_current/ex275/aigs/ex275_isqrt_prefix5_ge_tree_lsb_arith_wreduce_aig.aig
ex276,OK,101,10,1010,101,10,1010,1,ex276_r4_prefix4_shared_ge_synth_preset_aig,student/new_seeds/integer/ex255_ex279_current/ex276/aigs/ex276_r4_prefix4_shared_ge_synth_preset_aig.aig
ex277,OK,237,12,2844,237,12,2844,1,ex277_isqrt_cofbdd4_reverse_synth_preset_d12,student/new_seeds/integer/ex255_ex279_current/ex277/aigs/ex277_isqrt_cofbdd4_reverse_synth_preset_d12.aig
ex278,OK,502,14,7028,502,14,7028,1,ex278_isqrt_prefix5_range_synth_preset,student/new_seeds/integer/ex255_ex279_current/ex278/aigs/ex278_isqrt_prefix5_range_synth_preset.aig
ex279,OK,334,42,14028,334,42,14028,1,ex279_isqrt_radix4_wires_synth_preset,student/new_seeds/integer/ex255_ex279_current/ex279/aigs/ex279_isqrt_radix4_wires_synth_preset.aig
ex280,OK,115,26,2990,115,26,2990,1,ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex280/aigs/ex280_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.aig
ex281,OK,128,26,3328,128,26,3328,1,ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex281/aigs/ex281_gf2_overlap_roots_small_roots_balanced_linfact_abc_g_aig.aig
ex282,OK,144,28,4032,144,28,4032,1,ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex282/aigs/ex282_gf2_overlap_roots_mixed_roots_delaycap_balanced_linfact_abc_g_aig.aig
ex283,OK,150,30,4500,150,30,4500,1,ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex283/aigs/ex283_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig.aig
ex284,OK,160,34,5440,160,34,5440,1,ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex284/aigs/ex284_gf2_overlap_roots_wide_roots_delaycap_balanced_linfact_abc_g_aig.aig
ex285,OK,772,16,12352,772,16,12352,1,ex285_r9_boundary_mask_all_boundary,student/new_seeds/unknown/ex280_ex299_current/ex285/aigs/ex285_r9_boundary_mask_all_boundary.aig
ex286,OK,1338,15,20070,1338,15,20070,1,ex286_linhyb_sweep_raw_3_5_6_8_f00_global_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex286/aigs/ex286_linhyb_sweep_raw_3_5_6_8_f00_global_abc_g_aig.aig
ex287,OK,1697,14,23758,1697,14,23758,1,ex287_orientfollow_k7_b2_b3_b11_f11_case_direct_abc_g_aig,student/new_seeds/unknown/ex280_ex299_current/ex287/aigs/ex287_orientfollow_k7_b2_b3_b11_f11_case_direct_abc_g_aig.aig
ex288,OK,2173,14,30422,2173,14,30422,1,ex288_r8_current_keybdd_synth_preset_control,student/new_seeds/unknown/ex280_ex299_current/ex288/aigs/ex288_r8_current_keybdd_synth_preset_control.aig
