case,input_coord,output_coord,degree,exact_bits,total_bits,total_terms,low_degree_terms,max_degree,bit_term_counts,bit_degrees,notes
ex286,gray_reverse,prefix_onehot,3,1,13,37197,1837,13,2759:3734:3325:3970:453:7:3366:3360:3747:2822:3362:2684:3608,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_onehot,2,1,13,37197,432,13,2759:3734:3325:3970:453:7:3366:3360:3747:2822:3362:2684:3608,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,prefix_onehot,1,1,13,37197,76,13,2759:3734:3325:3970:453:7:3366:3360:3747:2822:3362:2684:3608,12:13:13:13:8:1:13:13:13:10:13:12:13,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_onehot,4,1,13,37211,5423,13,3975:3367:3611:3735:3359:456:3326:3365:2827:2683:3744:7:2756,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_onehot,3,1,13,37211,1851,13,3975:3367:3611:3735:3359:456:3326:3365:2827:2683:3744:7:2756,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_onehot,2,1,13,37211,446,13,3975:3367:3611:3735:3359:456:3326:3365:2827:2683:3744:7:2756,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,gray_reverse,suffix_onehot,1,1,13,37211,90,13,3975:3367:3611:3735:3359:456:3326:3365:2827:2683:3744:7:2756,13:13:13:13:13:8:13:13:10:12:13:1:12,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_natural,4,1,13,37223,6243,13,7:3692:3658:3593:3435:2304:2256:2285:2247:3484:3592:3391:3279,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_reverse,4,1,13,37223,6243,13,7:3692:3658:3593:3435:2304:2256:2285:2247:3484:3592:3391:3279,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,suffix_natural,3,1,13,37223,2133,13,7:3692:3658:3593:3435:2304:2256:2285:2247:3484:3592:3391:3279,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
ex286,gray_natural,prefix_reverse,3,1,13,37223,2133,13,7:3692:3658:3593:3435:2304:2256:2285:2247:3484:3592:3391:3279,1:13:13:13:13:9:9:9:9:13:13:13:13,output-coordinate ANF over transformed input coordinates
