case,class_key_count,representative_model,matches,total_classes,match_ratio,first_mismatch
ex289,20736,min_outside,71,20736,0.003424,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,max_outside_bitrev,71,20736,0.003424,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,min_center,66,20736,0.003183,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,max_center_bitrev,66,20736,0.003183,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,min_outside_bitrev,66,20736,0.003183,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,max_outside,66,20736,0.003183,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,min_natural,61,20736,0.002942,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,max_natural_bitrev,61,20736,0.002942,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,min_reverse_bitrev,61,20736,0.002942,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,max_reverse,61,20736,0.002942,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,min_onehot,61,20736,0.002942,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,max_onehot_bitrev,61,20736,0.002942,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
ex289,20736,min_onehot_rev,61,20736,0.002942,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x1;exp=0x4000;class_size=1"
ex289,20736,max_onehot_rev_bitrev,61,20736,0.002942,"key=((0, 0, 0, 0, 0, 0, 0, 1), (0, 0, 0, 0));pred=0x8000;exp=0x4000;class_size=1"
