case,candidate_id,equivalent,area,delay,adp,aig_path,notes
ex262,ex262_smul_booth_radix4_balanced_synth_preset_d13,1,258,28,7224,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_balanced_synth_preset_d13.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_balanced; flow=synth_preset_d13
ex262,ex262_smul_booth_radix4_balanced_synth_preset_d18,1,258,28,7224,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_balanced_synth_preset_d18.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_balanced; flow=synth_preset_d18
ex262,ex262_smul_booth_radix4_balanced_abc_g_aig_d13,1,246,28,6888,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_balanced_abc_g_aig_d13.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_balanced; flow=abc_g_aig_d13
ex262,ex262_smul_booth_radix4_csa_cla_abc_g_aig,1,265,28,7420,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_csa_cla_abc_g_aig.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig
ex262,ex262_smul_booth_radix4_csa_cla_wreduce_abc_g_aig,1,265,28,7420,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_csa_cla_wreduce_abc_g_aig.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_csa_cla; flow=wreduce_abc_g_aig
ex262,ex262_smul_booth_radix4_csa_cla_synth_preset_d9,1,265,28,7420,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_csa_cla_synth_preset_d9.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d9
ex262,ex262_smul_booth_radix4_csa_cla_synth_preset_d13,1,265,28,7420,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_csa_cla_synth_preset_d13.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d13
ex262,ex262_smul_booth_radix4_csa_cla_synth_preset_d18,1,265,28,7420,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_csa_cla_synth_preset_d18.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_csa_cla; flow=synth_preset_d18
ex262,ex262_smul_booth_radix4_csa_cla_abc_g_aig_d13,1,265,28,7420,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_csa_cla_abc_g_aig_d13.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_csa_cla; flow=abc_g_aig_d13
ex262,ex262_smul_booth_radix4_signed_abc_g_aig,1,246,28,6888,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_signed_abc_g_aig.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_signed; flow=abc_g_aig
ex262,ex262_smul_booth_radix4_signed_wreduce_abc_g_aig,1,246,28,6888,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_signed_wreduce_abc_g_aig.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_signed; flow=wreduce_abc_g_aig
ex262,ex262_smul_booth_radix4_signed_synth_preset_d9,1,262,28,7336,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_signed_synth_preset_d9.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_signed; flow=synth_preset_d9
ex262,ex262_smul_booth_radix4_signed_synth_preset_d13,1,262,28,7336,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_signed_synth_preset_d13.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_signed; flow=synth_preset_d13
ex262,ex262_smul_booth_radix4_signed_synth_preset_d18,1,262,28,7336,student/work/ex260_ex264_frontend_smul_booth_parallel_20260609_0239/ex262/aigs/ex262_smul_booth_radix4_signed_synth_preset_d18.aig,exact signed low6 * signed high6 over 4096 inputs; source=booth_radix4_signed; flow=synth_preset_d18
