case,domain,category,current_best_adp,current_best_area,current_best_delay,current_best_source,current_best_run,frontend_best_adp,frontend_best_run,backend_best_adp,backend_best_run,reference_adp,gap_to_reference,ratio_to_reference,priority,recommendation
ex247,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,3222,179,18,frontend,newseeds_float_fp8_v3a_20260614_1951,3222,newseeds_float_fp8_v3a_20260614_1951,3690,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,2975,247,1.083025,frontend_high,rethink high-level description and shared-structure RTL
ex248,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,4256,224,19,frontend,newseeds_float_fp8_v3a_20260614_1951,4256,newseeds_float_fp8_v3a_20260614_1951,4796,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,4180,76,1.018182,frontend_high,rethink high-level description and shared-structure RTL
ex249,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,1755,135,13,backend,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,2128,newseeds_float_fp8_v3a_20260614_1951,1755,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,2079,-324,0.844156,already_beat_or_low_priority,do not spend frontend time unless polishing
ex250,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,12818,442,29,frontend,newseeds_float_fp8_v3a_20260614_1951,12818,newseeds_float_fp8_v3a_20260614_1951,13021,ex240_ex254_backend_portfolio_v2_cycles3_jobs20_20260611_2003,20355,-7537,0.629722,already_beat_or_low_priority,do not spend frontend time unless polishing
ex251,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,7344,272,27,backend,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,7992,newseeds_float_fp8_v3a_20260614_1951,7344,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,39270,-31926,0.187013,already_beat_or_low_priority,do not spend frontend time unless polishing
ex252,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,2432,152,16,frontend,newseeds_float_fp8_v3a_20260614_1951,2432,newseeds_float_fp8_v3a_20260614_1951,2448,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,2603,-171,0.934307,already_beat_or_low_priority,do not spend frontend time unless polishing
ex253,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,2023,119,17,frontend,newseeds_float_fp8_v3a_20260614_1951,2023,newseeds_float_fp8_v3a_20260614_1951,2096,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729_v3b_feedback_short,1845,178,1.096477,frontend_high,rethink high-level description and shared-structure RTL
ex254,float_fp8,Float conversion and FP8 arithmetic: FP16/BF16 to FP8 variants for ex240-ex253; FP8 addition for ex254.,15840,495,32,frontend,newseeds_float_fp8_v3a_20260614_1951,15840,newseeds_float_fp8_v3a_20260614_1951,18496,float_fp8_v3_ga_adaptive_ex240-ex254_20260614_0729,38220,-22380,0.414443,already_beat_or_low_priority,do not spend frontend time unless polishing
ex255,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",1023,93,11,frontend,newseeds_integer_v3a_20260614_1952,1023,newseeds_integer_v3a_20260614_1952,1079,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,836,187,1.223684,frontend_medium,add diverse frontend seeds before deeper backend
ex256,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",2660,140,19,frontend,newseeds_integer_v3a_20260614_1952,2660,newseeds_integer_v3a_20260614_1952,2790,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,1911,749,1.391941,frontend_high,rethink high-level description and shared-structure RTL
ex257,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",4454,262,17,frontend,newseeds_integer_v3a_20260614_1952,4454,newseeds_integer_v3a_20260614_1952,4680,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,3952,502,1.127024,frontend_medium,add diverse frontend seeds before deeper backend
ex258,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",7636,332,23,frontend,newseeds_integer_v3a_20260614_1952,7636,newseeds_integer_v3a_20260614_1952,8100,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,6289,1347,1.214183,frontend_medium,add diverse frontend seeds before deeper backend
ex259,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",11178,486,23,frontend,newseeds_integer_v3a_20260614_1952,11178,newseeds_integer_v3a_20260614_1952,11934,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,10000,1178,1.117800,frontend_medium,add diverse frontend seeds before deeper backend
ex260,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",790,79,10,frontend,newseeds_integer_v3a_20260614_1952,790,newseeds_integer_v3a_20260614_1952,1066,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,657,133,1.202435,frontend_high,rethink high-level description and shared-structure RTL
ex261,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",2520,140,18,frontend,newseeds_integer_v3a_20260614_1952,2520,newseeds_integer_v3a_20260614_1952,2808,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,2041,479,1.234689,frontend_high,rethink high-level description and shared-structure RTL
ex262,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",4408,232,19,frontend,newseeds_integer_v3a_20260614_1952,4408,newseeds_integer_v3a_20260614_1952,5038,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,4900,-492,0.899592,already_beat_or_low_priority,do not spend frontend time unless polishing
ex263,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",7992,333,24,frontend,newseeds_integer_v3a_20260614_1952,7992,newseeds_integer_v3a_20260614_1952,8040,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,6840,1152,1.168421,frontend_medium,add diverse frontend seeds before deeper backend
ex264,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",10890,495,22,frontend,newseeds_integer_v3a_20260614_1952,10890,newseeds_integer_v3a_20260614_1952,12096,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,9724,1166,1.119910,frontend_medium,add diverse frontend seeds before deeper backend
ex265,integer,"Basic integer arithmetic: unsigned/signed multipliers, divider with b=0 saturation, squarer, restoring square root.",301,43,7,frontend,newseeds_integer_v3a_20260614_1952,301,newseeds_integer_v3a_20260614_1952,364,ex255_ex279_backend_portfolio_v2_cycles3_jobs25_20260612_0404,322,-21,0.934783,already_beat_or_low_priority,do not spend frontend time unless polishing
